modelName,Length,ExtWidth,Skew,GirderSpacing,NumGirder,AdjustedWidth,Width,beamType,BeamD,Beamfc,SectionName,Mn_pos
,1200,432,0,144,4,432,576,AASHTO,54,8000,AASHTO4,246677445.909387
,1200,504,0,72,8,504,576,AASHTO,54,8000,AASHTO4,71657650.6081138
,1200,480,0,96,6,480,576,AASHTO,54,8000,AASHTO4,90561429.2052599
,1800,432,0,144,4,432,576,AASHTO,72,8000,AASHTO6,393153178.403684
,1800,504,0,72,8,504,576,AASHTO,72,8000,AASHTO6,164962152.699269
,1800,480,0,96,6,480,576,AASHTO,72,8000,AASHTO6,210784717.059808
,600,432,0,144,4,432,576,AASHTO,36,8000,AASHTO2,33536365.8282455
,600,504,0,72,8,504,576,AASHTO,36,8000,AASHTO2,20100051.3556505
,600,480,0,96,6,480,576,AASHTO,36,8000,AASHTO2,23462149.8426102
,1200,432,0,144,4,432,576,Rolled,43.3,,W44X262,103990581.533067
,1200,504,0,72,8,504,576,Rolled,40,,W40X264,81889451.5097086
,1200,480,0,96,6,480,576,Rolled,40,,W40X264,87177928.7223623
,1800,432,0,144,4,432,576,Plate,60,,,208100007.553352
,1800,504,0,72,8,504,576,Plate,60,,,192374026.031586
,1800,480,0,96,6,480,576,Plate,60,,,194877572.147616
,600,432,0,144,4,432,576,Rolled,21.8,,W21X132,35312333.4894842
,600,504,0,72,8,504,576,Rolled,23.9,,W24X76,21044714.8588343
,600,480,0,96,6,480,576,Rolled,21.4,,W21X101,26099244.9566201
